Statistic,Quarter,Sector,value
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q2,Value of Physical Changes in Stocks,4110
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q2,Modified Final Domestic Demand,57771
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q2,Modified Total Domestic Demand,61882
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Personal Expenditure on Consumer Goods and Services,33985
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,12068
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Modified Gross Domestic Fixed Capital Formation,14274
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross domestic fixed capital formation - Dwellings,1859
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross domestic fixed capital formation - Improvements,1096
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross domestic fixed capital formation - Other Building and Construction,4756
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross domestic fixed capital formation - Transfer Costs,586
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Value of Physical Changes in Stocks,4669
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Modified Final Domestic Demand,60327
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q3,Modified Total Domestic Demand,64997
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Personal Expenditure on Consumer Goods and Services,37441
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,13073
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Modified Gross Domestic Fixed Capital Formation,14068
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross domestic fixed capital formation - Dwellings,1896
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross domestic fixed capital formation - Improvements,1186
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross domestic fixed capital formation - Other Building and Construction,4899
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross domestic fixed capital formation - Transfer Costs,443
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,4062
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,3792
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1582
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,13145
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Value of Physical Changes in Stocks,53
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Modified Final Domestic Demand,64581
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2022Q4,Modified Total Domestic Demand,64634
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Personal Expenditure on Consumer Goods and Services,33705
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,11878
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Modified Gross Domestic Fixed Capital Formation,13403
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross domestic fixed capital formation - Dwellings,1830
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross domestic fixed capital formation - Improvements,1074
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross domestic fixed capital formation - Other Building and Construction,3597
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross domestic fixed capital formation - Transfer Costs,400
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,4638
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,2548
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1863
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,7938
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Value of Physical Changes in Stocks,2650
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Modified Final Domestic Demand,58986
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q1,Modified Total Domestic Demand,61636
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Personal Expenditure on Consumer Goods and Services,34900
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,12682
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Modified Gross Domestic Fixed Capital Formation,13122
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross domestic fixed capital formation - Dwellings,1922
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross domestic fixed capital formation - Improvements,1055
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross domestic fixed capital formation - Other Building and Construction,3859
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross domestic fixed capital formation - Transfer Costs,393
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Value of Physical Changes in Stocks,5482
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Modified Final Domestic Demand,60704
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q2,Modified Total Domestic Demand,66186
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Personal Expenditure on Consumer Goods and Services,37361
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,12655
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Modified Gross Domestic Fixed Capital Formation,13742
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross domestic fixed capital formation - Dwellings,2347
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross domestic fixed capital formation - Improvements,1124
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross domestic fixed capital formation - Other Building and Construction,4624
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross domestic fixed capital formation - Transfer Costs,418
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,3971
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,2322
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1257
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,9171
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Value of Physical Changes in Stocks,4296
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Modified Final Domestic Demand,63758
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,2023Q3,Modified Total Domestic Demand,68054
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Personal Expenditure on Consumer Goods and Services,10937
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4658
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Modified Gross Domestic Fixed Capital Formation,5204
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross domestic fixed capital formation - Dwellings,1053
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross domestic fixed capital formation - Improvements,511
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross domestic fixed capital formation - Other Building and Construction,1307
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross domestic fixed capital formation - Transfer Costs,337
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1124
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,410
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,71
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Value of Physical Changes in Stocks,383
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Modified Final Domestic Demand,20731
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q1,Modified Total Domestic Demand,21080
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Personal Expenditure on Consumer Goods and Services,11415
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4635
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Modified Gross Domestic Fixed Capital Formation,4876
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross domestic fixed capital formation - Dwellings,1054
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross domestic fixed capital formation - Improvements,523
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross domestic fixed capital formation - Other Building and Construction,1395
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross domestic fixed capital formation - Transfer Costs,357
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,926
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,384
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,73
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Value of Physical Changes in Stocks,149
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Modified Final Domestic Demand,20960
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q2,Modified Total Domestic Demand,20925
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Personal Expenditure on Consumer Goods and Services,11620
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4608
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Modified Gross Domestic Fixed Capital Formation,5175
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross domestic fixed capital formation - Dwellings,1191
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross domestic fixed capital formation - Improvements,584
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross domestic fixed capital formation - Other Building and Construction,1346
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross domestic fixed capital formation - Transfer Costs,389
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,976
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,449
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,73
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Value of Physical Changes in Stocks,-93
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Modified Final Domestic Demand,21414
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q3,Modified Total Domestic Demand,20980
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Personal Expenditure on Consumer Goods and Services,13160
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4576
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Modified Gross Domestic Fixed Capital Formation,4945
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross domestic fixed capital formation - Dwellings,1282
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross domestic fixed capital formation - Improvements,529
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross domestic fixed capital formation - Other Building and Construction,1332
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross domestic fixed capital formation - Transfer Costs,371
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,845
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,455
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,73
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Value of Physical Changes in Stocks,32
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Modified Final Domestic Demand,22888
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1995Q4,Modified Total Domestic Demand,22637
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Personal Expenditure on Consumer Goods and Services,11883
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4785
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Modified Gross Domestic Fixed Capital Formation,5946
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross domestic fixed capital formation - Dwellings,1221
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross domestic fixed capital formation - Improvements,693
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross domestic fixed capital formation - Other Building and Construction,1507
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross domestic fixed capital formation - Transfer Costs,368
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1239
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,472
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,84
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Value of Physical Changes in Stocks,461
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Modified Final Domestic Demand,22530
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q1,Modified Total Domestic Demand,22989
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Personal Expenditure on Consumer Goods and Services,12200
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4757
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Modified Gross Domestic Fixed Capital Formation,6090
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross domestic fixed capital formation - Dwellings,1230
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross domestic fixed capital formation - Improvements,711
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross domestic fixed capital formation - Other Building and Construction,1768
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross domestic fixed capital formation - Transfer Costs,377
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1194
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,459
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,85
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Value of Physical Changes in Stocks,442
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Modified Final Domestic Demand,22983
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q2,Modified Total Domestic Demand,23405
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q3,Personal Expenditure on Consumer Goods and Services,12350
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4739
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,1996Q3,Modified Gross Domestic Fixed Capital Formation,5799
