Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),426
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),366
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),3796
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),645
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),312
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net operating balance - ESA2010 Code  (NOB),1074
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),360
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government Surplus/Deficit - ESA2010 Code (B9),714
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13442
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),12631
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),811
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - ESA2010 Code (TR),12291
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),11024
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9012
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2013
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),605
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),144
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),135
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),382
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - ESA2010 Code (TE),12812
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),12275
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3639
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2188
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),697
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),415
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),360
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),3963
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),698
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),315
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net operating balance - ESA2010 Code  (NOB),17
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),538
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-521
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13484
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13061
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),423
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - ESA2010 Code (TR),16121
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14558
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),12545
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2013
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),718
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),182
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),122
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),541
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - ESA2010 Code (TE),15084
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),13385
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3929
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2328
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),697
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),435
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),467
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4319
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),742
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),467
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net operating balance - ESA2010 Code  (NOB),2735
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1699
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government Surplus/Deficit - ESA2010 Code (B9),1037
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13606
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13391
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),215
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - ESA2010 Code (TR),13374
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12206
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10017
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),519
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),191
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),33
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),425
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - ESA2010 Code (TE),12566
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),12563
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3854
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1798
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),436
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),335
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4260
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),866
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),260
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net operating balance - ESA2010 Code  (NOB),812
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),3
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government Surplus/Deficit - ESA2010 Code (B9),808
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13744
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13511
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),233
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - ESA2010 Code (TR),13054
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),11536
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9347
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),723
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),334
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),32
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),429
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - ESA2010 Code (TE),13309
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),12892
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3867
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2045
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),434
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),385
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4476
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),627
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),307
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net operating balance - ESA2010 Code  (NOB),162
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),417
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-255
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),14225
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13832
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),392
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - ESA2010 Code (TR),13999
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12636
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10447
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),655
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),222
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),51
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),435
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - ESA2010 Code (TE),13943
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),13355
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4191
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1967
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),435
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),445
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4529
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),694
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),342
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net operating balance - ESA2010 Code  (NOB),644
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),587
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government Surplus/Deficit - ESA2010 Code (B9),57
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15293
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),14149
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1144
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - ESA2010 Code (TR),18485
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),16772
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),14583
