Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2007Q4,Imports of Goods and Services (excluding Factor Income Flows),-41479
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross Domestic Product at Market Prices,55130
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross National Product at Market Prices,47302
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2007Q4,Modified Final Domestic Demand,44267
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Personal Expenditure on Consumer Goods and Services,24430
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7800
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross Domestic Fixed Capital Formation,15670
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Exports of Goods and Services (excluding Factor Income Flows),42971
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Imports of Goods and Services (excluding Factor Income Flows),-41378
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross Domestic Product at Market Prices,53708
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross National Product at Market Prices,46610
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q1,Modified Final Domestic Demand,45327
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Personal Expenditure on Consumer Goods and Services,23838
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7846
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross Domestic Fixed Capital Formation,12702
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Exports of Goods and Services (excluding Factor Income Flows),42836
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Imports of Goods and Services (excluding Factor Income Flows),-40254
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross Domestic Product at Market Prices,52351
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross National Product at Market Prices,45193
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q2,Modified Final Domestic Demand,43112
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Personal Expenditure on Consumer Goods and Services,23947
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7805
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross Domestic Fixed Capital Formation,12535
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Exports of Goods and Services (excluding Factor Income Flows),42680
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Imports of Goods and Services (excluding Factor Income Flows),-39791
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross Domestic Product at Market Prices,51944
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross National Product at Market Prices,43659
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q3,Modified Final Domestic Demand,43205
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Personal Expenditure on Consumer Goods and Services,23832
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7837
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross Domestic Fixed Capital Formation,10882
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Exports of Goods and Services (excluding Factor Income Flows),43119
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Imports of Goods and Services (excluding Factor Income Flows),-39948
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross Domestic Product at Market Prices,49720
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross National Product at Market Prices,42944
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2008Q4,Modified Final Domestic Demand,41372
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Personal Expenditure on Consumer Goods and Services,23152
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7989
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross Domestic Fixed Capital Formation,11469
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Exports of Goods and Services (excluding Factor Income Flows),45407
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Imports of Goods and Services (excluding Factor Income Flows),-40987
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross Domestic Product at Market Prices,49990
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross National Product at Market Prices,41693
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q1,Modified Final Domestic Demand,40089
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Personal Expenditure on Consumer Goods and Services,23011
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7392
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Fixed Capital Formation,11009
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Exports of Goods and Services (excluding Factor Income Flows),44450
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Imports of Goods and Services (excluding Factor Income Flows),-39643
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Product at Market Prices,49718
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross National Product at Market Prices,41199
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Modified Final Domestic Demand,39058
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Personal Expenditure on Consumer Goods and Services,22885
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7374
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Fixed Capital Formation,10313
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Exports of Goods and Services (excluding Factor Income Flows),44046
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Imports of Goods and Services (excluding Factor Income Flows),-38327
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Product at Market Prices,49062
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross National Product at Market Prices,40091
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Modified Final Domestic Demand,38326
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Personal Expenditure on Consumer Goods and Services,22920
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7354
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross Domestic Fixed Capital Formation,10230
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Exports of Goods and Services (excluding Factor Income Flows),45246
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Imports of Goods and Services (excluding Factor Income Flows),-39623
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross Domestic Product at Market Prices,48383
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross National Product at Market Prices,40522
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Modified Final Domestic Demand,37557
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Personal Expenditure on Consumer Goods and Services,23027
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7195
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross Domestic Fixed Capital Formation,9005
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Exports of Goods and Services (excluding Factor Income Flows),46080
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Imports of Goods and Services (excluding Factor Income Flows),-38301
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross Domestic Product at Market Prices,49840
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross National Product at Market Prices,40974
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Modified Final Domestic Demand,36711
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Personal Expenditure on Consumer Goods and Services,23164
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6951
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross Domestic Fixed Capital Formation,9528
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Exports of Goods and Services (excluding Factor Income Flows),47711
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Imports of Goods and Services (excluding Factor Income Flows),-39821
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross Domestic Product at Market Prices,49878
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross National Product at Market Prices,41228
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Modified Final Domestic Demand,37126
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Personal Expenditure on Consumer Goods and Services,23327
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6866
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross Domestic Fixed Capital Formation,8498
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Exports of Goods and Services (excluding Factor Income Flows),48558
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Imports of Goods and Services (excluding Factor Income Flows),-40736
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross Domestic Product at Market Prices,50136
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross National Product at Market Prices,42131
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Modified Final Domestic Demand,36623
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Personal Expenditure on Consumer Goods and Services,23102
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7092
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross Domestic Fixed Capital Formation,9018
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Exports of Goods and Services (excluding Factor Income Flows),48153
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Imports of Goods and Services (excluding Factor Income Flows),-41125
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross Domestic Product at Market Prices,49839
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross National Product at Market Prices,43722
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Modified Final Domestic Demand,36226
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Personal Expenditure on Consumer Goods and Services,23053
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7369
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross Domestic Fixed Capital Formation,8494
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Exports of Goods and Services (excluding Factor Income Flows),49919
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Imports of Goods and Services (excluding Factor Income Flows),-41296
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross Domestic Product at Market Prices,50241
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross National Product at Market Prices,40848
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Modified Final Domestic Demand,36089
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Personal Expenditure on Consumer Goods and Services,22967
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7525
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross Domestic Fixed Capital Formation,9769
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Exports of Goods and Services (excluding Factor Income Flows),49478
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Imports of Goods and Services (excluding Factor Income Flows),-41063
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross Domestic Product at Market Prices,51001
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross National Product at Market Prices,41360
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Modified Final Domestic Demand,36150
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Personal Expenditure on Consumer Goods and Services,22604
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7421
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross Domestic Fixed Capital Formation,8451
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Exports of Goods and Services (excluding Factor Income Flows),48699
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Imports of Goods and Services (excluding Factor Income Flows),-40886
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross Domestic Product at Market Prices,50111
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross National Product at Market Prices,40734
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Modified Final Domestic Demand,35127
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Personal Expenditure on Consumer Goods and Services,22791
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7141
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross Domestic Fixed Capital Formation,8605
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Exports of Goods and Services (excluding Factor Income Flows),49367
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Imports of Goods and Services (excluding Factor Income Flows),-41025
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross Domestic Product at Market Prices,50137
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross National Product at Market Prices,40793
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Modified Final Domestic Demand,35506
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Personal Expenditure on Consumer Goods and Services,22559
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7052
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross Domestic Fixed Capital Formation,10019
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Exports of Goods and Services (excluding Factor Income Flows),47988
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Imports of Goods and Services (excluding Factor Income Flows),-40724
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross Domestic Product at Market Prices,49869
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross National Product at Market Prices,39871
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Modified Final Domestic Demand,35774
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Personal Expenditure on Consumer Goods and Services,22682
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6968
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Gross Domestic Fixed Capital Formation,12330
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Exports of Goods and Services (excluding Factor Income Flows),48730
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Imports of Goods and Services (excluding Factor Income Flows),-40681
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Gross Domestic Product at Market Prices,50936
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Gross National Product at Market Prices,41615
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Modified Final Domestic Demand,35241
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Personal Expenditure on Consumer Goods and Services,23016
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6918
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Gross Domestic Fixed Capital Formation,9351
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Exports of Goods and Services (excluding Factor Income Flows),48770
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Imports of Goods and Services (excluding Factor Income Flows),-40560
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Gross Domestic Product at Market Prices,50034
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Gross National Product at Market Prices,40392
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Modified Final Domestic Demand,35797
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Personal Expenditure on Consumer Goods and Services,22945
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6809
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Gross Domestic Fixed Capital Formation,8857
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Exports of Goods and Services (excluding Factor Income Flows),50511
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Imports of Goods and Services (excluding Factor Income Flows),-40101
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Gross Domestic Product at Market Prices,50334
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Gross National Product at Market Prices,41163
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Modified Final Domestic Demand,35761
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Personal Expenditure on Consumer Goods and Services,22692
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6678
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Gross Domestic Fixed Capital Formation,9820
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Exports of Goods and Services (excluding Factor Income Flows),48378
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Imports of Goods and Services (excluding Factor Income Flows),-40441
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Gross Domestic Product at Market Prices,49566
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Gross National Product at Market Prices,41671
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Modified Final Domestic Demand,35677
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Personal Expenditure on Consumer Goods and Services,22728
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6721
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Gross Domestic Fixed Capital Formation,9304
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Exports of Goods and Services (excluding Factor Income Flows),51254
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Imports of Goods and Services (excluding Factor Income Flows),-40787
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Gross Domestic Product at Market Prices,51039
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Gross National Product at Market Prices,42177
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Modified Final Domestic Demand,35873
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Personal Expenditure on Consumer Goods and Services,22958
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7067
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Gross Domestic Fixed Capital Formation,10434
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Exports of Goods and Services (excluding Factor Income Flows),51321
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Imports of Goods and Services (excluding Factor Income Flows),-41490
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Gross Domestic Product at Market Prices,52097
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Gross National Product at Market Prices,43834
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Modified Final Domestic Demand,37292
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Personal Expenditure on Consumer Goods and Services,23038
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7119
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Gross Domestic Fixed Capital Formation,9830
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Exports of Goods and Services (excluding Factor Income Flows),51420
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Imports of Goods and Services (excluding Factor Income Flows),-40865
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Gross Domestic Product at Market Prices,51672
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Gross National Product at Market Prices,44743
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Modified Final Domestic Demand,37720
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Personal Expenditure on Consumer Goods and Services,23069
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7177
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Gross Domestic Fixed Capital Formation,11471
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Exports of Goods and Services (excluding Factor Income Flows),53755
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Imports of Goods and Services (excluding Factor Income Flows),-43864
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Gross Domestic Product at Market Prices,53690
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Gross National Product at Market Prices,45192
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Modified Final Domestic Demand,37569
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Personal Expenditure on Consumer Goods and Services,23378
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7374
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Gross Domestic Fixed Capital Formation,11145
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Exports of Goods and Services (excluding Factor Income Flows),57850
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Imports of Goods and Services (excluding Factor Income Flows),-45749
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Gross Domestic Product at Market Prices,55914
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Gross National Product at Market Prices,47081
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Modified Final Domestic Demand,38247
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Personal Expenditure on Consumer Goods and Services,23522
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7161
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Gross Domestic Fixed Capital Formation,12274
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Exports of Goods and Services (excluding Factor Income Flows),60406
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Imports of Goods and Services (excluding Factor Income Flows),-49216
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Gross Domestic Product at Market Prices,56148
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Gross National Product at Market Prices,47161
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Modified Final Domestic Demand,38539
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Personal Expenditure on Consumer Goods and Services,23799
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7055
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Gross Domestic Fixed Capital Formation,11692
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Exports of Goods and Services (excluding Factor Income Flows),59546
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Imports of Goods and Services (excluding Factor Income Flows),-48786
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Gross Domestic Product at Market Prices,55987
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Gross National Product at Market Prices,48157
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Modified Final Domestic Demand,38871
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Personal Expenditure on Consumer Goods and Services,23765
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7340
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Gross Domestic Fixed Capital Formation,14143
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Exports of Goods and Services (excluding Factor Income Flows),76845
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Imports of Goods and Services (excluding Factor Income Flows),-56126
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Gross Domestic Product at Market Prices,69359
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Gross National Product at Market Prices,52733
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Modified Final Domestic Demand,39885
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Personal Expenditure on Consumer Goods and Services,23990
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7335
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Gross Domestic Fixed Capital Formation,15943
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Exports of Goods and Services (excluding Factor Income Flows),77474
